"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"939","Adult","No","Travel_Rarely","Low (< 400)","Sales","Far","High","Marketing","Moderate","Female","Fairly High ( > 90","Low","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Higher Stock Level","High (10 > 19)","Intensive Training","Moderate","Junior","Junior","Just Promoted","Comfomrtable"
"940","Adult","No","Non-Travel","Low (< 400)","Research & Development","Far","Low","Medical","High","Male","Moderate (50 - 69)","Low","Associate","Research Director","Low","Divorced","High ( > 9000)","High ( > 20000)","Moderate","No","Normal","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Experts","Pending Promotion","Experienced"
"941","Adult","No","Travel_Rarely","Low (< 400)","Sales","Far","Moderate","Life Sciences","High","Male","High (70 - 89)","Low","Associate","Sales Executive","Moderate","Married","High ( > 9000)","Low (< 10000)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Senior","Associate","Just Promoted","Comfomrtable"
"942","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","Moderate","Life Sciences","Low","Male","Low (< 50)","Low","Associate","Healthcare Representative","Low","Divorced","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Senior","Associate","Recently Promoted","Comfomrtable"
"943","Middle Aged","No","Travel_Frequently","Moderate (400 - 799)","Sales","Close-by","Moderate","Marketing","Low","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Married","High ( > 9000)","Moderate (10000 - 19999)","Moderate","No","Normal","Fair","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Junior","Pending Promotion","Comfomrtable"
"944","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","High","Life Sciences","Low","Male","High (70 - 89)","High","Associate","Healthcare Representative","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Slightly High","Fair","High","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"945","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Medical","High","Male","High (70 - 89)","Moderate","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Low (< 10000)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Recently Promoted","Experienced"
"946","Young","Yes","Travel_Rarely","Low (< 400)","Research & Development","Far","High","Life Sciences","High","Female","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","Moderate","Single","Low (< 4000)","High ( > 20000)","Low","Yes","Slightly High","Fair","High","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Junior","Pending Promotion","Experienced"
"947","Adult","No","Travel_Frequently","Very High ( > 1200","Research & Development","Far","Moderate","Medical","High","Female","Moderate (50 - 69)","Low","Associate","Research Scientist","Low","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","Yes","Slightly High","Fair","Moderate","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Experts","Experts","Just Promoted","Experienced"
"948","Adult","Yes","Travel_Rarely","Very High ( > 1200","Sales","Far","High","Medical","Low","Male","Low (< 50)","Moderate","Associate","Sales Executive","Low","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"949","Middle Aged","No","Travel_Rarely","Low (< 400)","Research & Development","Far","High","Other","High","Male","Moderate (50 - 69)","Moderate","Associate","Research Director","Low","Married","High ( > 9000)","Moderate (10000 - 19999)","Moderate","Yes","Slightly High","Fair","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"950","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Moderate","Life Sciences","High","Male","High (70 - 89)","Moderate","Associate","Healthcare Representative","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","Yes","Normal","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Good","Senior","Senior","Just Promoted","Newly Appointed"
"951","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","High","Other","Low","Female","Low (< 50)","Moderate","Associate","Research Scientist","Moderate","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Recently Promoted","Experienced"
"952","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Medical","Moderate","Male","Moderate (50 - 69)","Moderate","Senior","Research Director","Moderate","Married","High ( > 9000)","Low (< 10000)","High","No","Slightly High","Fair","High","Low Stock Level","Very High ( > 20)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"953","Middle Aged","No","Travel_Frequently","Very High ( > 1200","Sales","Close-by","Low","Medical","Low","Male","Fairly High ( > 90","Moderate","Associate","Sales Representative","Moderate","Single","Low (< 4000)","High ( > 20000)","Moderate","No","Very High","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"954","Adult","No","Travel_Frequently","High (800 - 1199)","Research & Development","Close-by","Moderate","Life Sciences","High","Male","Low (< 50)","Low","Associate","Research Scientist","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Very High","High","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"955","Adult","No","Non-Travel","High (800 - 1199)","Research & Development","Close-by","Low","Life Sciences","Moderate","Male","Fairly High ( > 90","Low","Associate","Healthcare Representative","High","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","No","Slightly High","Fair","High","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"956","Young","No","Travel_Rarely","High (800 - 1199)","Sales","Very Far","Moderate","Life Sciences","Low","Male","Low (< 50)","Low","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Moderate","No","Very High","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"957","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Far","Moderate","Life Sciences","Moderate","Female","Low (< 50)","High","Associate","Research Director","High","Married","High ( > 9000)","Moderate (10000 - 19999)","Low","Yes","Very High","High","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Experienced"
"958","Adult","No","Travel_Frequently","High (800 - 1199)","Research & Development","Very Far","Moderate","Life Sciences","Moderate","Female","High (70 - 89)","Moderate","Associate","Manufacturing Director","Low","Married","High ( > 9000)","Moderate (10000 - 19999)","High","No","Normal","Fair","Moderate","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Senior","Senior","Just Promoted","Newly Appointed"
"959","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Far","Low","Life Sciences","Moderate","Male","Fairly High ( > 90","Low","Associate","Research Director","High","Divorced","High ( > 9000)","Moderate (10000 - 19999)","Low","Yes","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Recently Promoted","Experienced"
"960","Young","No","Travel_Rarely","Moderate (400 - 799)","Sales","Very Far","Low","Medical","Low","Male","Low (< 50)","Moderate","Associate","Sales Executive","Moderate","Divorced","Moderate (4000 - 8999)","Low (< 10000)","High","No","Normal","Fair","Low","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"961","Middle Aged","Yes","Travel_Rarely","Moderate (400 - 799)","Sales","Far","Low","Medical","Moderate","Male","Moderate (50 - 69)","Low","Associate","Sales Executive","High","Single","High ( > 9000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Experts","Pending Promotion","Experienced"
"962","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Far","Moderate","Medical","Low","Male","Low (< 50)","Low","Juniors","Research Scientist","Low","Married","Low (< 4000)","Low (< 10000)","Low","No","Normal","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Associate","Recently Promoted","Newly Appointed"
"963","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Technical Degree","High","Male","High (70 - 89)","Moderate","Juniors","Research Scientist","Low","Single","Low (< 4000)","Low (< 10000)","Moderate","No","Normal","Fair","Low","Low Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"964","Adult","No","Travel_Rarely","Low (< 400)","Sales","Close-by","High","Medical","High","Male","Fairly High ( > 90","Moderate","Associate","Sales Executive","High","Divorced","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Slightly High","Fair","Moderate","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"965","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Life Sciences","High","Female","Low (< 50)","Moderate","Associate","Healthcare Representative","High","Married","Moderate (4000 - 8999)","High ( > 20000)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Senior","Junior","Recently Promoted","Comfomrtable"
"966","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Moderate","Life Sciences","Moderate","Male","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","High","Single","Low (< 4000)","High ( > 20000)","Low","No","Very High","Fair","Low","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Senior","Recently Promoted","Comfomrtable"
"967","Middle Aged","Yes","Travel_Frequently","Moderate (400 - 799)","Sales","Far","Low","Technical Degree","Low","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"968","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Low","Technical Degree","Low","Female","Low (< 50)","High","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Senior","Just Promoted","Experienced"
"969","Young","Yes","Travel_Rarely","Low (< 400)","Human Resources","Far","Moderate","Human Resources","Low","Male","Moderate (50 - 69)","Low","Juniors","Human Resources","Low","Divorced","Low (< 4000)","Low (< 10000)","Moderate","Yes","Slightly High","Fair","High","Higher Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Newly Appointed"
"970","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Close-by","Moderate","Marketing","Low","Male","High (70 - 89)","Moderate","Senior","Manager","Low","Married","High ( > 9000)","Low (< 10000)","High","No","Normal","Fair","Moderate","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"971","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Very Far","High","Life Sciences","Moderate","Female","Low (< 50)","Low","Juniors","Laboratory Technician","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Junior","Pending Promotion","Newly Appointed"
"972","Middle Aged","No","Travel_Rarely","Low (< 400)","Sales","Far","High","Marketing","High","Male","Moderate (50 - 69)","Moderate","Juniors","Sales Representative","Low","Married","Low (< 4000)","Low (< 10000)","High","No","Slightly High","Fair","High","Moderate Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"973","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Moderate","Life Sciences","Moderate","Male","High (70 - 89)","Moderate","Associate","Manufacturing Director","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Moderate","No","Slightly High","Fair","Low","Higher Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Senior","Associate","Just Promoted","Comfomrtable"
"974","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","High","Medical","Moderate","Male","High (70 - 89)","Moderate","Juniors","Laboratory Technician","Moderate","Single","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Very High","High","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"975","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Moderate","Life Sciences","Moderate","Male","Fairly High ( > 90","Low","Senior","Research Director","High","Married","High ( > 9000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","Very High ( > 20)","minimal Training","Good","Senior","Senior","Just Promoted","Experienced"
"976","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Moderate","Life Sciences","High","Female","Moderate (50 - 69)","Moderate","Associate","Research Scientist","Low","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Moderate","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Experienced"
"977","Adult","Yes","Travel_Rarely","High (800 - 1199)","Sales","Close-by","Low","Medical","High","Female","Low (< 50)","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","Yes","Very High","Fair","Low","Low Stock Level","High (10 > 19)","Intensive Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"978","Young","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","High","Medical","Low","Male","High (70 - 89)","High","Juniors","Laboratory Technician","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Very High","High","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Senior","Just Promoted","Experienced"
"979","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Very Far","Moderate","Technical Degree","High","Male","High (70 - 89)","High","Juniors","Laboratory Technician","Low","Divorced","Moderate (4000 - 8999)","Low (< 10000)","High","No","Normal","Fair","Moderate","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"980","Young","No","Non-Travel","Moderate (400 - 799)","Research & Development","Close-by","Low","Life Sciences","Low","Male","High (70 - 89)","High","Associate","Healthcare Representative","Low","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Normal","Fair","High","Higher Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"981","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Close-by","High","Life Sciences","Moderate","Male","High (70 - 89)","Moderate","Juniors","Sales Representative","High","Single","Low (< 4000)","Moderate (10000 - 19999)","Moderate","Yes","Very High","High","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"982","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","High","Medical","High","Female","Moderate (50 - 69)","Moderate","Associate","Research Scientist","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Senior","Junior","Recently Promoted","Experienced"
"983","Young","Yes","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Low","Life Sciences","Low","Female","Low (< 50)","Moderate","Associate","Manufacturing Director","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","Yes","Very High","Fair","Low","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Just Promoted","Comfomrtable"
"984","Middle Aged","No","Travel_Frequently","High (800 - 1199)","Research & Development","Far","Low","Medical","Low","Female","High (70 - 89)","Moderate","Associate","Healthcare Representative","Moderate","Married","High ( > 9000)","Low (< 10000)","High","No","Normal","Fair","High","Low Stock Level","Very High ( > 20)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"985","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","High","Life Sciences","Low","Male","High (70 - 89)","Low","Associate","Research Director","Low","Married","High ( > 9000)","Moderate (10000 - 19999)","High","No","Slightly High","Fair","High","Higher Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Pending Promotion","Experienced"
"986","Adult","No","Travel_Frequently","Moderate (400 - 799)","Sales","Close-by","High","Other","High","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Single","Moderate (4000 - 8999)","High ( > 20000)","High","No","Slightly High","Fair","High","Low Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"987","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Low","Life Sciences","Low","Male","Low (< 50)","Low","Associate","Healthcare Representative","Moderate","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Low","Low Stock Level","Just Started ( < 5)","minimal Training","Moderate","Senior","Associate","Recently Promoted","Comfomrtable"
"988","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Close-by","Moderate","Technical Degree","Low","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Very High","Fair","Moderate","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"989","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Low","Life Sciences","Low","Male","Low (< 50)","Moderate","Juniors","Research Scientist","High","Married","Low (< 4000)","Low (< 10000)","Low","No","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Experts","Junior","Just Promoted","Experienced"
"990","Adult","No","Non-Travel","High (800 - 1199)","Research & Development","Close-by","High","Medical","High","Female","Low (< 50)","Low","Associate","Manufacturing Director","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"991","Adult","No","Non-Travel","High (800 - 1199)","Research & Development","Very Far","High","Medical","High","Female","Moderate (50 - 69)","Moderate","Juniors","Laboratory Technician","Moderate","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","No","Normal","Fair","Low","Low Stock Level","High (10 > 19)","minimal Training","Good","Senior","Senior","Pending Promotion","Experienced"
"992","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Low","Medical","High","Female","Low (< 50)","Moderate","Associate","Manufacturing Director","Moderate","Single","Moderate (4000 - 8999)","High ( > 20000)","High","No","Slightly High","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Recently Promoted","Newly Appointed"
"993","Young","No","Non-Travel","Very High ( > 1200","Research & Development","Close-by","Moderate","Life Sciences","Moderate","Female","Moderate (50 - 69)","Low","Associate","Laboratory Technician","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Low","Higher Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Experts","Pending Promotion","Comfomrtable"
"994","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","High","Medical","Low","Female","High (70 - 89)","Low","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Low (< 10000)","High","No","Normal","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"995","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Low","Other","Moderate","Female","Low (< 50)","Low","Associate","Healthcare Representative","Low","Married","High ( > 9000)","Low (< 10000)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Senior","Just Promoted","Experienced"
"996","Adult","No","Travel_Frequently","Very High ( > 1200","Research & Development","Very Far","Moderate","Life Sciences","Low","Male","Fairly High ( > 90","Low","Juniors","Research Scientist","Moderate","Divorced","Low (< 4000)","High ( > 20000)","Low","No","Very High","High","Moderate","Higher Stock Level","High (10 > 19)","minimal Training","Moderate","Experts","Senior","Just Promoted","Experienced"
"997","Young","No","Travel_Rarely","Low (< 400)","Research & Development","Far","Moderate","Medical","Low","Female","Low (< 50)","Moderate","Juniors","Research Scientist","Low","Married","Low (< 4000)","High ( > 20000)","Low","No","Slightly High","Fair","High","Moderate Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"998","Adult","No","Travel_Frequently","High (800 - 1199)","Research & Development","Close-by","Low","Life Sciences","High","Male","High (70 - 89)","Moderate","Juniors","Laboratory Technician","High","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Senior","Senior","Pending Promotion","Experienced"
"999","Old","No","Travel_Frequently","Very High ( > 1200","Sales","Close-by","Low","Life Sciences","Low","Female","Moderate (50 - 69)","Low","Associate","Sales Executive","Moderate","Single","Moderate (4000 - 8999)","High ( > 20000)","High","No","Normal","Fair","High","Low Stock Level","Very High ( > 20)","minimal Training","Moderate","Senior","Associate","Recently Promoted","Comfomrtable"
"1000","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","Low","Medical","Low","Female","High (70 - 89)","Moderate","Juniors","Laboratory Technician","High","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"1001","Adult","Yes","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Low","Life Sciences","Low","Female","Low (< 50)","Moderate","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","High ( > 20000)","High","No","Very High","High","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Senior","Recently Promoted","Experienced"
"1002","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Life Sciences","Low","Male","Low (< 50)","Moderate","Juniors","Research Scientist","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","Yes","Slightly High","Fair","High","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Senior","Pending Promotion","Experienced"
"1003","Middle Aged","No","Non-Travel","High (800 - 1199)","Research & Development","Close-by","Low","Life Sciences","Moderate","Male","Moderate (50 - 69)","Moderate","Associate","Laboratory Technician","Low","Married","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Normal","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Senior","Just Promoted","Experienced"
"1004","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Other","Moderate","Female","Low (< 50)","Low","Juniors","Research Scientist","Low","Married","Low (< 4000)","High ( > 20000)","Low","No","Very High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Associate","Pending Promotion","Comfomrtable"
"1005","Adult","No","Travel_Rarely","Low (< 400)","Sales","Far","Moderate","Marketing","Moderate","Female","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","High ( > 20000)","High","No","Very High","High","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"1006","Young","No","Travel_Rarely","Moderate (400 - 799)","Sales","Very Far","Low","Medical","Low","Female","Low (< 50)","Low","Associate","Sales Representative","Moderate","Married","Low (< 4000)","Low (< 10000)","Low","No","Very High","High","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Experts","Pending Promotion","Experienced"
"1007","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Low","Life Sciences","Low","Male","Fairly High ( > 90","Moderate","Senior","Research Director","Low","Divorced","High ( > 9000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Higher Stock Level","Very High ( > 20)","Intensive Training","Moderate","Experts","Associate","Recently Promoted","Experienced"
"1008","Young","No","Travel_Rarely","Very High ( > 1200","Sales","Far","Low","Life Sciences","Low","Male","Fairly High ( > 90","High","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Normal","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"1009","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Low","Life Sciences","Moderate","Female","Moderate (50 - 69)","Moderate","Associate","Manufacturing Director","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Normal","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Senior","Just Promoted","Experienced"
"1010","Adult","No","Travel_Frequently","Low (< 400)","Research & Development","Close-by","Moderate","Medical","High","Female","Low (< 50)","Low","Juniors","Laboratory Technician","Low","Single","Low (< 4000)","High ( > 20000)","Low","No","Very High","High","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Senior","Associate","Pending Promotion","Comfomrtable"
"1011","Adult","No","Travel_Frequently","High (800 - 1199)","Research & Development","Far","High","Life Sciences","Moderate","Male","High (70 - 89)","Moderate","Associate","Healthcare Representative","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Low","Yes","Slightly High","Fair","High","Higher Stock Level","High (10 > 19)","minimal Training","Good","Experts","Junior","Just Promoted","Comfomrtable"
"1012","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Very Far","Low","Medical","Moderate","Female","Moderate (50 - 69)","Low","Juniors","Research Scientist","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Senior","Recently Promoted","Newly Appointed"
"1013","Adult","No","Travel_Frequently","Low (< 400)","Research & Development","Close-by","Moderate","Medical","Low","Female","Low (< 50)","Moderate","Associate","Laboratory Technician","Low","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","No","Normal","Fair","High","Low Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"1014","Young","No","Travel_Rarely","Moderate (400 - 799)","Sales","Very Far","Low","Marketing","Low","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Very High","High","High","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
